                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.21706,                0.98822,                      1,                0.56713,              0.0033295,              0.0033295,              0.0033295
                      2,                0.08735,                0.98691,                      1,                0.56638,              0.0065968,              0.0065968,              0.0065968
                      3,                0.09862,                 0.9856,                      1,                0.57135,              0.0097982,              0.0097982,              0.0097982
                      4,                0.11092,                0.98364,                      1,                0.57221,               0.009703,               0.009703,               0.009703
                      5,                0.07111,                0.99018,                      1,                0.56358,               0.009604,               0.009604,               0.009604
                      6,                0.05651,                0.99476,                      1,                 0.5609,               0.009505,               0.009505,               0.009505
                      7,                 0.0466,                0.99215,                      1,                 0.5599,               0.009406,               0.009406,               0.009406
                      8,                0.04629,                0.99084,                      1,                0.56024,               0.009307,               0.009307,               0.009307
                      9,                0.04186,                0.99215,                      1,                0.56141,               0.009208,               0.009208,               0.009208
                     10,                0.03598,                0.99542,                      1,                0.55799,               0.009109,               0.009109,               0.009109
                     11,                0.04178,                0.99542,                      1,                0.55711,                0.00901,                0.00901,                0.00901
                     12,                0.03658,                0.99542,                      1,                0.55681,               0.008911,               0.008911,               0.008911
                     13,                0.03565,                0.99346,                      1,                0.55678,               0.008812,               0.008812,               0.008812
                     14,                0.03721,                0.99738,                      1,                0.55634,               0.008713,               0.008713,               0.008713
                     15,                0.03588,                0.99738,                      1,                0.55676,               0.008614,               0.008614,               0.008614
                     16,                0.03019,                0.99411,                      1,                0.55778,               0.008515,               0.008515,               0.008515
                     17,                0.03643,                0.99607,                      1,                0.55658,               0.008416,               0.008416,               0.008416
                     18,                0.02873,                0.99673,                      1,                0.55635,               0.008317,               0.008317,               0.008317
                     19,                0.03158,                0.99542,                      1,                0.55693,               0.008218,               0.008218,               0.008218
                     20,                0.02732,                0.99738,                      1,                0.55546,               0.008119,               0.008119,               0.008119
                     21,                0.02905,                0.99542,                      1,                0.55632,                0.00802,                0.00802,                0.00802
                     22,                0.03108,                0.99673,                      1,                 0.5561,               0.007921,               0.007921,               0.007921
                     23,                0.02339,                0.99542,                      1,                0.55613,               0.007822,               0.007822,               0.007822
                     24,                0.02694,                0.99804,                      1,                0.55444,               0.007723,               0.007723,               0.007723
                     25,                0.02729,                0.99542,                      1,                0.55659,               0.007624,               0.007624,               0.007624
                     26,                0.02585,                0.99804,                      1,                0.55451,               0.007525,               0.007525,               0.007525
                     27,                0.02543,                0.99542,                      1,                 0.5558,               0.007426,               0.007426,               0.007426
                     28,                0.02282,                0.99673,                      1,                0.55473,               0.007327,               0.007327,               0.007327
                     29,                0.02482,                0.99738,                      1,                0.55485,               0.007228,               0.007228,               0.007228
                     30,                0.02636,                0.99869,                      1,                0.55436,               0.007129,               0.007129,               0.007129
                     31,                0.02193,                0.99804,                      1,                0.55437,                0.00703,                0.00703,                0.00703
                     32,                0.02415,                0.99738,                      1,                 0.5547,               0.006931,               0.006931,               0.006931
                     33,                 0.0204,                0.99738,                      1,                0.55456,               0.006832,               0.006832,               0.006832
                     34,                0.02466,                0.99673,                      1,                0.55499,               0.006733,               0.006733,               0.006733
                     35,                0.01991,                0.99673,                      1,                0.55488,               0.006634,               0.006634,               0.006634
                     36,                0.02426,                0.99673,                      1,                0.55467,               0.006535,               0.006535,               0.006535
                     37,                0.02105,                0.99542,                      1,                0.55547,               0.006436,               0.006436,               0.006436
                     38,                0.02279,                0.99673,                      1,                0.55484,               0.006337,               0.006337,               0.006337
                     39,                0.01962,                0.99738,                      1,                 0.5546,               0.006238,               0.006238,               0.006238
                     40,                 0.0174,                0.99673,                      1,                0.55466,               0.006139,               0.006139,               0.006139
                     41,                0.02122,                0.99673,                      1,                0.55504,                0.00604,                0.00604,                0.00604
                     42,                0.02019,                0.99738,                      1,                0.55475,               0.005941,               0.005941,               0.005941
                     43,                 0.0192,                0.99804,                      1,                 0.5538,               0.005842,               0.005842,               0.005842
                     44,                0.01927,                0.99804,                      1,                0.55412,               0.005743,               0.005743,               0.005743
                     45,                0.01833,                0.99804,                      1,                 0.5541,               0.005644,               0.005644,               0.005644
                     46,                0.02052,                0.99869,                      1,                0.55338,               0.005545,               0.005545,               0.005545
                     47,                0.01691,                0.99804,                      1,                0.55347,               0.005446,               0.005446,               0.005446
                     48,                0.01772,                0.99804,                      1,                0.55354,               0.005347,               0.005347,               0.005347
                     49,                0.02345,                0.99804,                      1,                0.55411,               0.005248,               0.005248,               0.005248
                     50,                0.01735,                0.99738,                      1,                0.55421,               0.005149,               0.005149,               0.005149
                     51,                0.02003,                0.99738,                      1,                0.55401,                0.00505,                0.00505,                0.00505
                     52,                0.01861,                0.99738,                      1,                  0.554,               0.004951,               0.004951,               0.004951
                     53,                0.01713,                0.99804,                      1,                0.55386,               0.004852,               0.004852,               0.004852
                     54,                0.01794,                0.99804,                      1,                 0.5537,               0.004753,               0.004753,               0.004753
                     55,                0.01188,                0.99869,                      1,                0.55356,               0.004654,               0.004654,               0.004654
                     56,                 0.0169,                0.99869,                      1,                0.55327,               0.004555,               0.004555,               0.004555
                     57,                0.01712,                0.99869,                      1,                0.55323,               0.004456,               0.004456,               0.004456
                     58,                0.01294,                0.99869,                      1,                0.55326,               0.004357,               0.004357,               0.004357
                     59,                0.01207,                0.99804,                      1,                0.55341,               0.004258,               0.004258,               0.004258
                     60,                0.01549,                0.99804,                      1,                0.55358,               0.004159,               0.004159,               0.004159
                     61,                0.01526,                0.99804,                      1,                0.55374,                0.00406,                0.00406,                0.00406
